Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,-log10(pvalue),Significant,Regulation
A4GALT,84.57431051706999,-2.1365200591187192,0.5418854704725203,-3.9427520676199137,8.055191673166802e-05,0.0022062833852765596,4.093924121091034,True,Downregulated
ABCA11P,23.827410591452153,1.4526000181188852,0.4583894247230897,3.168921314003682,0.0015300581200812257,0.016642466850480268,2.8152920719594228,True,Upregulated
ABCA17P,25.114121628188567,-1.4233495350658276,0.46343211889482333,-3.071322588646168,0.0021311276840321235,0.020518918242748315,2.671390529258412,True,Downregulated
ABCA7,252.14474262259978,-1.2183568574726817,0.4301166704574487,-2.832619475494646,0.004616830935646166,0.03391893267972456,2.335656028645804,True,Downregulated
ABCC4,23.752191637745067,1.4141688891218007,0.4514056054641495,3.1328119810734463,0.0017314031362991283,0.017925666113805493,2.7616018001280906,True,Upregulated
ABCC9,54.09922848259882,1.1433573656042155,0.34756564034019866,3.289615637739946,0.0010032432327354655,0.01266575017302926,2.998593761068888,True,Upregulated
ABCD2,70.429975070977,2.290419484851572,0.4759220869242019,4.812593379841094,1.4898422110326123e-06,0.00011163470456279088,5.826859725216282,True,Upregulated
ABI3,44.87504733379123,-1.0885595920411648,0.33992432341874074,-3.2023586341016457,0.0013630718379224324,0.0154707697733342,2.8654812549568494,True,Downregulated
ABI3BP,19.35648221720669,1.834805837714682,0.5068151880862906,3.620266086821154,0.0002943002059842834,0.0055130194836291975,3.531209433932308,True,Upregulated
ABTB3,124.09528233847482,1.0171703876344769,0.3263079547558778,3.117209901902198,0.0018257153145321693,0.018537768108973122,2.738566941460371,True,Upregulated
ACADSB,158.1594132827074,1.4768810342616576,0.25678585478611743,5.751411172908197,8.850157755716261e-09,1.8847342536351013e-06,8.05304898785286,True,Upregulated
ACAP2,195.92411948437112,1.0328904995897483,0.3668098282897595,2.815874657463709,0.0048644641112894176,0.034991711840541874,2.3129649963676484,True,Upregulated
ACLY,517.9819064013654,1.1569851285237847,0.25830156855173314,4.479202875192999,7.492230005345394e-06,0.0003598271294852083,5.12538889860606,True,Upregulated
ACSBG1,207.08133023357846,1.2095015715048738,0.41990999267440227,2.880382921591294,0.00397192440878887,0.030951177927899788,2.400999025322241,True,Upregulated
ACSL4,252.2830690154614,1.2082792975955994,0.4284689486917237,2.819992676913762,0.004802474544951768,0.0347155205493722,2.318534928395739,True,Upregulated
ACSL6,466.7998658261429,1.8088765855358462,0.2766726547901737,6.537966633918641,6.236083177112568e-11,3.1540939444239665e-08,10.20508810080839,True,Upregulated
ACSM1,7.071452327488587,-3.29605146676787,0.9056001623813041,-3.639632150794672,0.0002730277912977839,0.0052233508299700145,3.563793144193774,True,Downregulated
ACVRL1,177.15736503310964,-1.3910728632767047,0.4744393396293886,-2.9320352405079864,0.003367485325802808,0.027864391614579983,2.472694288088051,True,Downregulated
ACY3,27.145927036329294,3.0040760601557803,0.8414662980645247,3.57004917138752,0.0003569142247653621,0.006232287643685788,3.4474361429549725,True,Upregulated
ADA,72.27373717913974,-1.8001972848120729,0.3003064467544243,-5.994534264141805,2.040694371439087e-09,5.79449796521783e-07,8.690222033371393,True,Downregulated
ADAM22,675.7982797156736,1.146473469883057,0.31768999682018234,3.608780513577138,0.00030763974713935447,0.005658124213011877,3.5119575542798396,True,Upregulated
ADAM28,23.279533457661973,1.6402940458112354,0.5128496144079172,3.1983918866838734,0.0013819634033900871,0.01564131306564235,2.8595034576247618,True,Upregulated
ADAM9,105.04323839700776,1.3026137133719433,0.3198824449645621,4.072163802287594,4.657840331841646e-05,0.0014724051908370514,4.331815402917829,True,Upregulated
ADAMTS18,47.952574791312024,1.7789768921139162,0.6206432285429837,2.8663438353951367,0.004152429732892713,0.0318412717219921,2.3816977079133297,True,Upregulated
ADARB2-AS1,34.02905709521988,-1.5468390092353719,0.47482059085836364,-3.2577336345903865,0.0011230576811112685,0.01365641515310735,2.9495979374651546,True,Downregulated
ADAT3,28.03555327867917,-1.6547373475182252,0.5978510068846925,-2.7678089163733306,0.005643453330474757,0.03796009043352282,2.2484550620787176,True,Downregulated
ADCY1,1580.5421346688856,1.2067560348041348,0.30046395910550017,4.016308772595297,5.9116790780145536e-05,0.0017396459250484644,4.228289150125812,True,Upregulated
ADCY10P1,59.556698853011106,-1.1555061546237024,0.3650766557982765,-3.1651055641919177,0.0015502669479320777,0.016794558602597508,2.8095935121318596,True,Downregulated
ADCY3,270.4343153474519,1.0752258224544626,0.32770149720358666,3.2811135488541017,0.0010339810906762116,0.012902840364375083,2.9854874034955285,True,Upregulated
ADGRB3,360.2095286623196,1.1061490793917195,0.28493497366507736,3.882110592334398,0.00010355376022469368,0.0025984769135452205,3.9848341264645373,True,Upregulated
ADGRL3,397.8895495025011,1.0763512782799471,0.1930278790668966,5.576144148104752,2.4590818308683946e-08,4.252199155623797e-06,7.609227019002936,True,Upregulated
ADIRF,41.42831814670019,-1.4191120290680155,0.42919777821138544,-3.3064291128950916,0.0009449325610324219,0.01214752462296247,3.024599185582379,True,Downregulated
ADM,91.21749190162005,-2.158727691370649,0.6145895673905793,-3.5124704451723154,0.00044396137898939167,0.007199914748440184,3.3526548083117853,True,Downregulated
ADRA1D,27.0324459393584,2.1251034514858462,0.5703165079792974,3.7261826051912,0.00019440159308253195,0.004107558464805195,3.7113001804379437,True,Upregulated
ADRA2B,23.15561124149906,-2.346107277681405,0.5889596701167551,-3.9834769623806565,6.791425794423056e-05,0.0019523841293559,4.16803904020453,True,Downregulated
