Geneid,SRR085474,SRR085473,SRR085726,SRR085471,SRR087416,SRR085725
ACACA_1,2,1,0,2,0,1
ACACB,284,275,237,302,182,260
ACAD10,159,65,97,148,90,119
ACAD11,0,0,0,0,0,0
ACAD8,295,34,231,284,208,295
ACAD9,328,64,180,312,160,210
ACAD9-DT,4,0,10,3,0,1
ACADL,15,2,3,10,4,11
ACADM,188,52,129,201,155,245
ACADS,127,143,95,132,61,84
ACADSB,304,30,97,275,92,327
ACADVL,700,651,955,771,779,825
ACAN,28,22,25,18,22,34
ACAP1,0,0,0,0,0,0
ACAP1_1,0,0,0,0,0,0
ACAP2,278,30,163,323,166,421
ACAP3,1142,1017,1460,1254,1224,1360
ACAT1,287,88,215,315,231,217
ACAT2,222,33,130,240,121,172
ACBD3,164,49,85,129,72,139
ACBD3-AS1,0,0,0,0,0,2
ACBD4,173,116,149,133,118,171
ACBD5,418,174,281,386,249,384
ACBD6,178,63,135,182,102,178
ACBD7,367,160,140,506,116,269
ACBD7-DCLRE1CP1,1,0,0,0,0,0
ACCS,64,40,28,104,24,43
ACCSL,0,0,1,2,0,1
ACD,172,100,227,187,177,203
ACE,90,36,58,121,38,77
ACE2,2,0,0,0,0,2
ACE2-DT,0,0,0,0,0,0
ACER1,0,0,1,1,0,0
ACER2,10,4,17,13,13,19
ACER3,497,142,475,558,477,465
ACER3-AS1,0,0,0,0,2,1
ACHE,342,86,428,281,315,387
ACIN1,757,436,1107,697,785,765
ACKR1,131,101,128,136,139,254
ACKR2,9,0,1,8,1,4
ACKR3,101,25,58,147,46,53
ACKR4,1,0,0,0,0,0
ACLY,996,101,428,875,339,914
ACMSD,0,3,5,2,3,6
ACO1,260,81,186,255,179,297
ACO2,885,156,540,848,460,754
ACOD1,0,0,0,0,0,1
ACOT1,12,9,6,17,4,11
ACOT11,53,32,46,74,42,38
ACOT12,3,0,3,5,4,6
ACOT13,195,58,210,182,193,179
ACOT2,57,14,29,67,23,37
ACOT4,38,4,17,57,24,15
ACOT6,7,5,2,8,7,6
ACOT7,904,167,788,936,749,711
ACOT8,253,40,205,240,196,170
ACOT9,186,56,93,161,96,136
ACOX1,574,155,279,524,300,525
ACOX2,26,17,29,41,17,18
ACOX3,353,118,266,334,225,320
ACOXL,12,2,6,17,5,7
ACOXL-AS1,0,0,1,0,0,0
ACP1,333,56,251,373,232,283
ACP2,434,103,189,402,184,302
ACP3,1,0,0,0,3,5
ACP4,0,0,1,2,4,1
ACP5,9,5,13,12,8,11
