Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,-log10(pvalue),Significant,Regulation
A1BG,48.543702864790696,-0.7223600223167127,0.35258458866360404,-2.0487566545510765,0.04048591620736739,0.13480036079330204,1.392696028073573,False,Not Significant
A1BG-AS1,10.631898446239491,-0.37327206388807865,0.6102831973173195,-0.6116374586895176,0.5407776488842504,0.7066260556756686,0.26698126670923317,False,Not Significant
A2M,780.1204094746226,0.6091566899204445,0.35655454249549473,1.7084530340211315,0.08755231389714012,0.22435626985833007,1.0577323715739075,False,Not Significant
A2M-AS1,9.239125879207728,1.6250500831942736,0.727348393527156,2.2342114145792795,0.025469165737970215,0.10056507000200061,1.5939852804517713,False,Not Significant
A2ML1,43.06974861727651,-0.7044732461223008,0.5939201218893172,-1.1861414021153271,0.23556646264821568,0.42405107306877665,0.6278865395367886,False,Not Significant
A4GALT,84.57431051706999,-2.1365200591187192,0.5418854704725203,-3.9427520676199137,8.055191673166802e-05,0.0022062833852765596,4.093924121091034,True,Downregulated
AACS,421.52047040184266,0.17765672281518902,0.28808789809102625,0.6166754104993863,0.5374488433601077,0.7039418572293714,0.26966286741931583,False,Not Significant
AACSP1,2.5669563439621705,1.3713148233414354,1.2698075832829632,1.079939072182917,0.28016931265348743,,0.5525794353425698,False,Not Significant
AADAT,55.31807539702425,0.07832826753165356,0.37981972116473606,0.2062248566015899,0.8366152723755873,0.9069730892455943,0.07747421165605453,False,Not Significant
AAGAB,240.35677229097428,0.3860212594889664,0.25482624368816637,1.5148410693576162,0.1298126571121629,0.2911655515459433,0.8866829604942174,False,Not Significant
AAK1,1143.6555063424455,0.4278164254115137,0.2581728657642062,1.6570929099971565,0.0975006923522563,0.2419206968758651,1.0109923003661108,False,Not Significant
AAMDC,59.01880575052163,-0.5165715066861422,0.42186709052792076,-1.2244887508046887,0.22076790736752383,0.407883512772707,0.6560640589600073,False,Not Significant
AAMP,502.67113757044643,-0.09760865906049948,0.19969477681415665,-0.4887892443543364,0.6249909134711105,0.7692963673686153,0.20412629666879306,False,Not Significant
AANAT,7.6036812768173805,-1.4310001134888772,0.7029152646035661,-2.0358074230980603,0.0417696967549873,0.1375747948676169,1.3791386776703287,False,Not Significant
AAR2,154.88547382981812,-0.115716098809346,0.23057154164537266,-0.5018663534258774,0.6157615345363969,0.762167362838145,0.21058744414401154,False,Not Significant
AARD,4.967290094781592,1.5000116806146089,1.005884570831948,1.4912363944244398,0.13589944161327466,,0.8667823277029125,False,Not Significant
AARS1,1414.1374415356086,-0.12683212069340216,0.1653130379919955,-0.7672239421281665,0.4429483802243619,0.6278598153464036,0.3536468821063602,False,Not Significant
AARS2,169.99642818743692,0.18617275548445328,0.2523524461430927,0.7377489631263047,0.46066701235607244,0.6430190928758015,0.336612885782181,False,Not Significant
AARSD1,1.4709913726434651,1.5731644642811273,1.6141282009274764,0.9746217576628601,0.3297479169207781,,0.4818179392923444,False,Not Significant
AASDH,59.02414323760852,0.39625811485453716,0.3023159801742222,1.3107415447445978,0.18994509763634115,0.3718855270143495,0.7213719108323988,False,Not Significant
AASDHPPT,358.67208203887094,0.5932565183929088,0.47776398413378274,1.241735539083218,0.21433415295810776,0.40080858066169545,0.668908621027931,False,Not Significant
AASS,126.12352625375128,-0.09409579880369134,0.2914311766357129,-0.32287485467387206,0.7467900203209801,0.8513027524225287,0.12680149434975196,False,Not Significant
